variant,cells,area_um2,fmax_mhz_slow,fmax_mhz_nom,ws_slow_ns,power_total_uw,power_internal_uw,power_switching_uw,power_leakage_uw,drc_violations,lvs_violations,antenna_nets,antenna_pins,run_dir
tlg_hc,7184,116049.0,89.02273422577599,146.11681605335892,-1.2330856684747389,26637.7255320549,14245.596714317799,12392.021715641022,0.10854230225731953,0,0,0,0,flow/phase2_tlg_hc/runs/phase2_tlg_hc
tlg_ld,22125,320367.0,73.81119119452518,130.41260815197037,-3.54808104050993,64565.9938454628,34599.486738443375,29966.194182634354,0.3153805891997763,0,0,0,0,flow/phase2_tlg_ld/runs/phase2_tlg_ld
handopt_hc,10481,131297.0,86.97520142372372,168.14116885603772,-1.4975301422784153,37064.481526613235,19420.87896168232,17643.464729189873,0.13693237121970014,0,0,0,0,flow/phase2_handopt_hc/runs/phase2_handopt_hc
handopt_ld,21464,305300.0,77.50694935515075,131.75056814440234,-2.902068889562671,167858.37709903717,84332.53318071365,83525.54589509964,0.30519746019308513,0,0,0,0,flow/phase2_handopt_ld/runs/phase2_handopt_ld
