variant_logic,variant_mode,seed_id,run_key,activity_total_uw,activity_internal_w,activity_switching_w,activity_leakage_w,default_total_uw,activity_ratio
tlg,hc,0,tile_tlg_hc,72995.27525901794,0.03697192668914795,0.03602323681116104,1.0822860474490881e-07,26637.7,2.7402994725151926
tlg,hc,1,tile_tlg_hc_s1,73882.43824243546,0.037383463233709335,0.036498863250017166,1.0997732857731535e-07,27363.9,2.6999966467658285
tlg,hc,2,tile_tlg_hc_s2,72189.8227930069,0.036184974014759064,0.03600474074482918,1.073795203865302e-07,26901.100000000002,2.683526799759374
tlg,ld,0,tile_tlg_ld,360464.4536972046,0.1798766404390335,0.1805875301361084,3.0552700991393067e-07,64566.399999999994,5.5828488764621325
tlg,ld,1,tile_tlg_ld_s1,359157.919883728,0.179249107837677,0.17990852892398834,3.05532381617013e-07,64566.399999999994,5.5626133698599896
tlg,ld,2,tile_tlg_ld_s2,358919.620513916,0.17911791801452637,0.17980141937732697,3.0543435514118755e-07,64566.399999999994,5.5589226054715155
handopt,hc,0,tile_handopt_hc,355435.311794281,0.18628200888633728,0.16915318369865417,1.3212600435963395e-07,37063.899999999994,9.589797938001155
handopt,hc,1,tile_handopt_hc_s1,382151.3056755066,0.20277923345565796,0.17937196791172028,1.337488697572553e-07,41181.200000000004,9.279751577795368
handopt,hc,2,tile_handopt_hc_s2,372259.7062587738,0.19030006229877472,0.18195952475070953,1.3390570074989228e-07,39553.8,9.411477690102437
handopt,ld,0,tile_handopt_ld,706266.5820121765,0.34135887026786804,0.3649073839187622,2.975021402562561e-07,167857.8,4.207529122937251
handopt,ld,1,tile_handopt_ld_s1,706432.044506073,0.34149253368377686,0.36493921279907227,2.9748525776085444e-07,167857.8,4.208514853084414
handopt,ld,2,tile_handopt_ld_s2,704951.2267112732,0.34076380729675293,0.3641871511936188,2.973977473175182e-07,167857.8,4.199692994375437
